"","sub","98:02_high_valid","98:02_high_invalid","98:02_low_valid","98:02_low_invalid","94:06_high_valid","94:06_high_invalid","94:06_low_valid","94:06_low_invalid","90:10_high_valid","90:10_high_invalid","90:10_low_valid","90:10_low_invalid","80:20_high_valid","80:20_high_invalid","80:20_low_valid","80:20_low_invalid","60:40_high_valid","60:40_high_invalid","60:40_low_valid","60:40_low_invalid"
"11","311",0.910344827586207,0.285714285714286,0.897810218978102,0.6,0.925675675675676,0.3,0.835616438356164,0.416666666666667,0.928,0.764705882352941,0.856,0.533333333333333,0.955357142857143,0.52,0.834862385321101,0.612903225806452,0.905882352941176,0.425925925925926,0.881578947368421,0.571428571428571
"12","312",0.987341772151899,0.625,0.970414201183432,0.714285714285714,0.962264150943396,0.615384615384615,0.973856209150327,0.6,0.955128205128205,0.611111111111111,0.944099378881988,0.611111111111111,0.971223021582734,0.694444444444444,0.963235294117647,0.551724137931034,0.96039603960396,0.73015873015873,0.944444444444444,0.71875
"13","313",0.988439306358382,0.8,0.981927710843373,0.571428571428571,0.976190476190476,0.785714285714286,0.970059880239521,0.642857142857143,0.986928104575163,0.631578947368421,0.980519480519481,0.739130434782609,0.965277777777778,0.685714285714286,0.977443609022556,0.558823529411765,0.963302752293578,0.768115942028985,1,0.797101449275362
"14","314",0.96551724137931,0.714285714285714,0.976744186046512,0.666666666666667,0.974358974358974,0.583333333333333,0.987654320987654,0.5,0.98,0.619047619047619,0.993377483443709,0.636363636363636,0.992647058823529,0.742857142857143,0.992805755395683,0.548387096774194,0.990476190476191,0.705882352941177,0.979591836734694,0.738461538461539
"15","315",0.964705882352941,0.857142857142857,0.807453416149068,0.571428571428571,0.89937106918239,0.928571428571429,0.788461538461538,0.923076923076923,0.941176470588235,0.818181818181818,0.907894736842105,0.833333333333333,0.938356164383562,0.891891891891892,0.801418439716312,0.612903225806452,0.932692307692308,0.841269841269841,0.87,0.714285714285714
"16","316",0.989130434782609,1,0.984042553191489,1,0.97752808988764,0.928571428571429,0.972067039106145,0.9375,0.994152046783626,1,0.988372093023256,0.833333333333333,0.987261146496815,0.975,0.980769230769231,0.894736842105263,0.982608695652174,0.987341772151899,0.982608695652174,0.974683544303797
"17","317",0.978378378378378,1,0.977777777777778,0.75,0.988571428571429,0.9375,0.949438202247191,0.875,0.976047904191617,0.739130434782609,0.963855421686747,0.869565217391304,0.961038961038961,0.875,0.993333333333333,0.861111111111111,0.982758620689655,0.929577464788732,0.981651376146789,0.936708860759494
"18","318",0.994623655913978,1,0.984210526315789,1,0.972527472527473,0.866666666666667,0.983425414364641,1,0.982758620689655,0.958333333333333,1,0.958333333333333,0.980769230769231,0.975,0.955414012738854,0.974358974358974,0.991452991452991,0.974683544303797,1,0.987179487179487
"19","320",0.933333333333333,1,0.777142857142857,1,0.928994082840237,0.733333333333333,0.730994152046784,0.857142857142857,0.945454545454545,0.727272727272727,0.807453416149068,0.666666666666667,0.936619718309859,0.947368421052632,0.641891891891892,0.743589743589744,0.947368421052632,0.863636363636364,0.754545454545455,0.689189189189189
"20","321",0.923913043478261,0.75,0.923913043478261,0.875,0.925287356321839,0.8,0.887640449438202,0.666666666666667,0.888235294117647,0.545454545454545,0.91812865497076,0.454545454545455,0.95364238410596,0.815789473684211,0.88961038961039,0.82051282051282,0.938053097345133,0.8,0.921739130434783,0.784810126582278
"21","323",0.956043956043956,0.75,0.912568306010929,1,0.976878612716763,0.933333333333333,0.930635838150289,0.785714285714286,0.964497041420118,0.956521739130435,0.911242603550296,0.857142857142857,0.979865771812081,0.972972972972973,0.87248322147651,0.9,0.955752212389381,0.96,0.928571428571429,0.786666666666667
